id,src,name,genre,plot,rating,year,star,
18,images/3-Days-to-Kill.jpg,3 Days to Kill ,Action,A dying CIA agent trying to reconnect with his estranged daughter is offered an experimental drug that could save his life in exchange for one last assignment.,6.2,2014,Kevin Costner  Hailee Steinfeld  Connie Nielsen,
19,images/X-Men-The-Last-Stand.jpg,X-Men: The Last Stand,Action,When a cure is found to treat mutations  lines are drawn amongst the X-Men  led by Professor Charles Xavier  and the Brotherhood  a band of powerful mutants organized under Xavier's former ally  Magneto.,6.8,2006,Patrick Stewart  Hugh Jackman  Halle Berry,
20,images/Jack-Ryan-Shadow-Recruit.jpg,Jack Ryan: Shadow Recruit,Action,Jack Ryan  as a young covert CIA analyst  uncovers a Russian plot to crash the U.S. economy with a terrorist attack.,6.2,2014,Chris Pine  Kevin Costner  Keira Knightley,
21,images/Vampire-Academy.jpg,Vampire Academy ,Action,Rose Hathaway is a Dhampir  half human-half vampire  a guardian of the Moroi  peaceful  mortal vampires living discreetly within our world. Her calling is to protect the Moroi from bloodthirsty  immortal Vampires  the Strigoi.,5.8,2014,Zoey Deutch  Lucy Fry  Danila Kozlovsky,
22,images/X-Men-Origins-Wolverine.jpg,X-Men Origins: Wolverine,Action,A look at Wolverine's early life  in particular his time with the government squad Team X and the impact it will have on his later years.,6.8,2009,Hugh Jackman  Liev Schreiber  Ryan Reynolds,
23,images/X-Men-2.jpg,X-Men 2,Action,The X-Men band together to find a mutant assassin who has made an attempt on the President's life  while the Mutant Academy is attacked by military forces.,7.5,2003,Patrick Stewart  Hugh Jackman  Halle Berry,
24,images/21-Jump-Street.jpg,21 Jump Street,Action,A pair of underachieving cops are sent back to a local high school to blend in and bring down a synthetic drug ring.,7.2,2012,Jonah Hill  Channing Tatum  Ice Cube,
25,images/The-Avengers.jpg,The Avengers ,Action,Nick Fury of S.H.I.E.L.D. assembles a team of superheroes to save the planet from Loki and his army.,8.2,2012,Robert Downey Jr.  Chris Evans  Scarlett Johansson,
26,images/The-Dark-Knight.jpg,The Dark Knight,Action,When Batman  Gordon and Harvey Dent launch an assault on the mob  they let the clown out of the box  the Joker  bent on turning Gotham on itself and bringing any heroes down to his level.,9,2008,Christian Bale  Heath Ledger  Aaron Eckhart,
27,images/I-Frankenstein.jpg,I Frankenstein,Action,Frankenstein's creature finds himself caught in an all-out  centuries old war between two immortal clans.,5.2,2014,Aaron Eckhart  Bill Nighy  Miranda Otto,
28,images/Fast-&-Furious-6.jpg,Fast & Furious 6,Action,Hobbs has Dom and Brian reassemble their crew in order to take down a mastermind who commands an organization of mercenary drivers across 12 countries. Payment? Full pardons for them all.,7.2,2013,Vin Diesel  Paul Walker  Dwayne Johnson,
29,images/Star-Trek-Into-Darkness.jpg,Star Trek Into Darkness,Action,After the crew of the Enterprise find an unstoppable force of terror from within their own organization  Captain Kirk leads a manhunt to a war-zone world to capture a one-man weapon of mass destruction.,7.9,2013,Chris Pine  Zachary Quinto  Zoe Saldana ,
30,images/The-Dark-Knight-Rises.jpg,The Dark Knight Rises,Action,Eight years after the Joker's reign of anarchy  the Dark Knight must return to defend Gotham City against the enigmatic jewel thief Catwoman and the ruthless mercenary Bane as the city teeters on the brink of complete annihilation.,8.6,2012,Christian Bale  Tom Hardy  Anne Hathaway,
31,images/Kick-Ass-2.jpg,Kick-Ass 2 ,Action,The costumed high-school hero Kick-Ass joins with a group of normal citizens who have been inspired to fight crime in costume. Meanwhile  the Red Mist plots an act of revenge that will affect everyone Kick-Ass knows.,6.8,2013,Aaron Taylor-Johnson  Chloë Grace Moretz,
32,images/The-Wolverine.jpg,The Wolverine,Action,When Wolverine is summoned to Japan by an old acquaintance  he is embroiled in a conflict that forces him to confront his own demons.,6.8,2013,Hugh Jackman  Will Yun Lee  Tao Okamoto,
33,images/The-Mortal-Instruments-City-of-Bones.jpg,The Mortal Instruments: City of Bones,Action,When her mother disappears  Clary Fray learns that she descends from a line of warriors who protect our world from demons. She joins forces with others like her and heads into a dangerous alternate New York called Downworld.,6,2013,Lily Collins  Jamie Campbell Bower  Robert Sheehan,
34,images/R.I.P.D..jpg,R.I.P.D.,Action,A recently slain cop joins a team of undead police officers working for the Rest in Peace Department and tries to find the man who murdered him.,5.6,2013,Ryan Reynolds  Jeff Bridges  Mary-Louise Parker,
35,images/The-Amazing-Spider-Man.jpg,The Amazing Spider-Man,Action,Peter Parker finds a clue that might help him understand why his parents disappeared when he was young. His path puts him on a collision course with Dr. Curt Connors  his father's former partner.,7.1,2012,Andrew Garfield  Emma Stone  Rhys Ifans,
36,images/Man-of-Steel.jpg,Man of Steel ,Action,A young itinerant worker is forced to confront his secret extrastellar origin when Earth is invaded by members of his own race.,7.3,2013,Henry Cavill  Amy Adams  Michael Shannon,
37,images/Machete-Kills.jpg,Machete Kills,Action,The U.S. government recruits Machete to battle his way through Mexico in order to take down an arms dealer who looks to launch a weapon into space.,5.7,2013,Danny Trejo  Alexa PenaVega  Mel Gibson,
38,images/The-Legend-of-Hercules.jpg,The Legend of Hercules,Action,The origin story of the the mythical Greek hero. Betrayed by his stepfather  the King  and exiled and sold into slavery because of a forbidden love  Hercules must use his formidable powers to fight his way back to his rightful kingdom.,4.2,2013,2014,Kellan Lutz  Gaia Weiss  Scott Adkins 
39,images/Pacific-Rim.jpg,Pacific Rim ,Action,As a war between humankind and monstrous sea creatures wages on  a former pilot and a trainee are paired up to drive a seemingly obsolete special weapon in a desperate effort to save the world from the apocalypse.,7.1,2013,Idris Elba  Charlie Hunnam  Rinko Kikuchi,
40,images/Thor-The-Dark-World.jpg,Thor: The Dark World,Action,When Jane Foster is possessed by a great power  Thor must protect her from a new threat of old times: the Dark Elves.,7.2,2013,Chris Hemsworth  Natalie Portman  Tom Hiddleston,
41,images/The-Maze-Runner.jpg,The Maze Runner,Action,A group of boys  with no memories of their past lives  must escape a massive maze infested with deadly creatures.,6.5,2014,Thomas Brodie-Sangster  Dylan O'Brien  Will Poulter,
42,images/White-House-Down.jpg,White House Down,Action,While on a tour of the White House with his young daughter  a Capitol policeman springs into action to save his child and protect the president from a heavily armed group of paramilitary invaders.,6.4,2013,Channing Tatum  Jamie Foxx  Maggie Gyllenhaal,
43,images/Star-Wars-Episode IV-A-New-Hope.jpg,Star Wars: Episode IV - A New Hope,Action,Luke Skywalker joins forces with a Jedi Knight  a cocky pilot  a wookiee and two droids to save the universe from the Empire's world-destroying battle-station  while also attempting to rescue Princess Leia from the evil Darth Vader.,8.7,1977,Mark Hamill  Harrison Ford  Carrie Fisher,
44,images/Inception.jpg,Inception ,Action,A skilled extractor is offered a chance to regain his old life as payment for a task considered to be impossible.,8.8,2010,Leonardo DiCaprio  Joseph Gordon-Levitt  Ellen Page,
45,images/Oblivion.jpg,Oblivion ,Action,A veteran assigned to extract Earth's remaining resources begins to question what he knows about his mission and himself.,7,2013,Tom Cruise  Morgan Freeman  Andrea Riseborough,
46,images/300.jpg,300,Action,King Leonidas and a force of 300 men fight the Persians at Thermopylae in 480 B.C.,7.8,2006,Gerard Butler  Lena Headey  David Wenham,
47,images/Kick-Ass.jpg,Kick-Ass ,Action,Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a super-hero  even though he has no powers  training or meaningful reason to do so.,7.8,2010,Aaron Taylor-Johnson  Nicolas Cage  Chloë Grace Moretz,
48,images/Noah.jpg,Noah,Action,A man is chosen by his world's creator to undertake a momentous mission before an apocalyptic flood cleanses the world.,6.4,2014,Russell Crowe  Jennifer Connelly  Anthony Hopkins,
49,images/Star-Trek.jpg,Star Trek ,Action,The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful  time-traveling Romulan creates black holes to destroy the Federation one planet at a time.,8,2009,Chris Pine  Zachary Quinto  Simon Pegg ,
50,images/Iron-Man-3.jpg,Iron Man 3,Action,When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin  he starts an odyssey of rebuilding and retribution.,7.4,2013,Robert Downey Jr.  Guy Pearce  Gwyneth Paltrow ,
51,images/Sex-Tape.jpg,Sex Tape,Comedy,A married couple wake up to discover that the sex tape they made the evening before has gone missing leading to a frantic search for its whereabouts.,5,2014,Jason Segel-Cameron Diaz-Rob Corddry,
52,images/Wish-I-Was-Here.jpg,Wish I Was Here,Comedy,Aidan Bloom is a 35-year-old man who finds himself at major crossroads which forces him to examine his life his career and his family.,7.2,2014,Zach Braff-Joey King-Pierce Gagnon,
53,images/Tammy.jpg,Tammy ,Comedy,After losing her job and learning that her husband has been unfaithful a woman hits the road with her profane hard-drinking grandmother.,4.7,2014 Melissa McCarthy-Susan Sarandon-Kathy Bates ,,
54,images/22-Jump-Street.jpg,22 Jump Street,Comedy,After making their way through high school (twice) big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college.,7.8,2014,Channing Tatum-Jonah Hill-Ice Cube,
55,images/The-Lego-Movie.jpg,The Lego Movie,Comedy,An ordinary Lego construction worker thought to be the prophesied 'Special' is recruited to join a quest to stop an evil tyrant from gluing the Lego universe into eternal stasis.,8,2014,Will Arnett-Elizabeth Banks-Alison Brie,
56,images/Frozen.jpg,Frozen,Comedy,Fearless optimist Anna teams up with Kristoff in an epic journey encountering Everest-like conditions and a hilarious snowman named Olaf in a race to find Anna's sister Elsa whose icy powers have trapped the kingdom in eternal winter.,7.8,2013,Kristen Bell-Idina Menzel-Jonathan Groff,
57,images/Begin-Again.jpg,Begin Again,Comedy,A chance encounter between a disgraced music-business executive and a young singer-songwriter new to Manhattan turns into a promising collaboration between the two talents.,7.8,2013,Keira Knightley-Mark Ruffalo-Adam Levine,
